INFO - 2023-06-13 21:19:10,287 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Meals-Sides/Family-Meals/BBQ-Chicken-Bacon-Pasta-1-kg/_/A-6009178928134?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,306 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Meals-Sides/Kids-Meals/Kids-Pasta-Pillows-200-g/_/A-20196370?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,339 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-4-save-R30/Italian-Meals/Spinach-Ricotta-Cannelloni-350-g/_/A-20149284?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,374 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Online-Feature/Recipes/Stir-fried-greens-baked-tofu-and-sesame/Fresh-Egg-Noodles-250-g/_/A-6005000285482?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,406 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Online-Feature/Recipes/Delicious-Greek-style-cottage-pie/Crunchy-Topped-Cottage-Pie-1-kg/_/A-6009195492847?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,441 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Pizzas-Pies-Quiches/Pies/Pepper-Steak-Pie-580-g/_/A-20109271?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,474 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Meals-Sides/Indian-Asian-Mexican-Meals/Mince-Curry-Rice-350-g/_/A-6009000346075?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,507 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-3-save-R15/Mini-Meals/Cottage-Pie-235-g/_/A-6009195888688?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,557 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-5-save-R25/Kids-Meals/Kids-Twisty-Tuna-Pasta-200-g/_/A-6009178037805?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,591 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-4-save-R30/Italian-Meals/Tagliatelle-Alfredo-300-g/_/A-20082154?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,655 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Meals-Sides/Italian-Meals/Spaghetti-Carbonara-300-g/_/A-20123895?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,725 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Meals-Sides/Kids-Meals/Kids-Chicken-Noodle-Doo-200-g/_/A-20196349?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,828 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Chicken-A-La-King-with-Rice-400-g/_/A-20139797?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,908 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-5-save-R25/Kids-Meals/Kids-Criss-Cross-Cottage-Pie-220-g/_/A-20196363?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,978 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Soups/Fresh-Farmhouse-Chicken-Soup-600-g/_/A-6009189149276?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:11,058 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Meals-Sides/Indian-Asian-Mexican-Meals/Butter-Chicken-350-g/_/A-20128883?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:11,124 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Meals-Sides/Side-Dishes/Pumpkin-Fritters-with-a-Sticky-Cinnamon-Syrup-700-g/_/A-6009211272408?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:11,159 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-4-save-R30/Italian-Meals/BBQ-Chicken-Bacon-Pasta-300-g/_/A-6009182630214?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:11,201 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Pizzas-Pies-Quiches/Pizza/Stonebaked-Bacon-South-African-Feta-Pizza-365-g/_/A-6009175970334?isFromPLP=true appended into product link list.
