INFO - 2023-06-13 21:36:23,947 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Chips-Rice-Potatoes/Frozen-Savoury-Rice-1-kg/_/A-6009173621740?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,979 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Chips-Rice-Potatoes/Frozen-French-Fries-1-kg/_/A-20095550?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,012 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Chips-Rice-Potatoes/Frozen-Skin-On-Potato-Chips-1-kg/_/A-6009223005117?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,090 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Chips-Rice-Potatoes/Frozen-Crinkle-Cut-Potato-Chips-1-kg/_/A-6009189924019?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,140 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Chips-Rice-Potatoes/Frozen-Crispy-Potato-Rostis-500-g/_/A-6009171051204?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,177 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Vegetables/Frozen-Potato-Wedges-750-g/_/A-6009000622698?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,213 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Chips-Rice-Potatoes/Frozen-Steakhouse-Cut-Potato-Chips-1-kg/_/A-6009173621801?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,247 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Chips-Rice-Potatoes/Frozen-Sweet-Potato-Chips-1-kg/_/A-6009173621795?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,279 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Desserts-Fruit-Bakery/Freshly-Frozen-Blackberries-350-g/_/A-6009214501987?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,312 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Desserts-Fruit-Bakery/Freshly-Frozen-Blueberries-500-g/_/A-6009000623428?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,345 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Desserts-Fruit-Bakery/Freshly-Frozen-Raspberries-400-g/_/A-6009173168870?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,378 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Desserts-Fruit-Bakery/Freshly-Frozen-Berry-Medley-350-g/_/A-6009178822166?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,411 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Desserts-Fruit-Bakery/Freshly-Frozen-Strawberries-350-g/_/A-6009207398679?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,445 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Desserts-Fruit-Bakery/Freshly-Frozen-Summer-Berries-350-g/_/A-6009214501970?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,495 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Desserts-Fruit-Bakery/Freshly-Frozen-Summer-Fruits-350-g/_/A-6009195948740?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,528 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Fish-Seafood/Frozen-Crumbed-Fish-Fingers-800-g/_/A-20012274?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,566 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Fish-Seafood/Frozen-Crumbed-Hake-Fish-Cakes-300-g/_/A-20109233?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,610 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Fish-Seafood/Frozen-Lightly-Dusted-Cajun-Hake-Portions-450-g/_/A-6009223371441?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,664 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Fish-Seafood/Frozen-Lightly-Dusted-Hake-Portions-450-g/_/A-6009178641545?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:24,664 - Pagination_Frozen_food: -len(product_links) collected...
INFO - 2023-06-13 21:36:28,780 - Pagination_Frozen_food: -Next page button clicked
INFO - 2023-06-13 21:36:33,046 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Fish-Seafood/Frozen-Panko-Crumbed-Hake-Portions-550-g/_/A-6009214950792?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:33,122 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Fish-Seafood/Frozen-Panko-Crumbed-Lemon-Black-Pepper-Hake-Portions-550-g/_/A-6009214950785?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:33,359 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Fish-Seafood/Frozen-Panko-Crumbed-Smoked-Hake-Fillets-600-g/_/A-6009214595177?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:33,532 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Fish-Seafood/Frozen-Smoked-Snoek-Sweet-Potato-Fish-Cakes-4-x-100-g/_/A-6009207984445?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:33,729 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Fish-Seafood/Frozen-Tempura-Hake-Portions-600-g/_/A-20012199?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:33,761 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Fish-Seafood/Frozen-Chilli-Lime-Norwegian-Salmon-Portions-400-g/_/A-6008000200530?isFromPLP=true appended into product link list.
