INFO - 2023-06-13 21:13:39,402 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Vegetables/Potatoes-Sweet-Potatoes/Sweet-Potatoes-1-kg/_/A-20088835?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,478 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Online-Feature/Recipes/Global-inspired-treats/Fresh-Coriander-30-g/_/A-20099268?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,620 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-Save-20-/Apple-And-Pear/Top-Red-Apples-1-5-kg/_/A-20051518?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,696 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Vegetables/Carrots-Beetroot/Chef-s-Style-Carrots-300-g/_/A-20109752?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,745 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Vegetables/Butternut-Pumpkin-Squash/Gem-Squash-1-kg/_/A-20008390?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,785 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Vegetables/Broccoli-Cauliflower/Broccoli-300-g/_/A-20009007?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,815 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Fruit/Papaya-Mango-Pineapple-Kiwi-Fruit/Queen-Pineapples-2-pk/_/A-20016807?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,846 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Salads-Herbs/Lettuce-Mixed-Leaves/Mixed-Leaf-Salad-180-g/_/A-20158392?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,910 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Make-Your-Own-Smoothies/Red-Fruit-Veg/Raspberries-160-g/_/A-20017385?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,970 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Vegetables/Mushrooms/Portabellini-Mushrooms-250-g/_/A-20162894?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:40,029 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Salads-Herbs/Peppers-Chillies/Colour-Peppers-3-pk/_/A-20198695?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:40,082 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Vegetables/Potatoes-Sweet-Potatoes/Baby-Potatoes-700-g/_/A-20008123?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:40,129 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Vegetables/Potatoes-Sweet-Potatoes/Everyday-Large-Potatoes-2-kg/_/A-20110994?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:40,205 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Salads-Herbs/Tomatoes/Rosa-Tomatoes-200-g/_/A-20115944?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:40,295 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-Save-20-/Apple-And-Pear/Granny-Smith-Apples-1-5-kg/_/A-20016425?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:40,343 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Vegetables/Mushrooms/Mixed-Mushrooms-400-g/_/A-20173036?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:40,374 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Salads-Herbs/Avocados/Ripen-at-Home-Avocados-1-kg/_/A-20144432?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:40,423 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Vegetables/Prepared-Vegetables/Mixed-Veggie-Bags/Bulk-Roasting-Vegetables-800-g/_/A-6001009021328?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:40,491 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Salads-Herbs/Tomatoes/Mini-Rosa-Tomatoes-200-g/_/A-20186937?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:40,594 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Salads-Herbs/Cucumbers/Mini-Cucumbers-350-g/_/A-20004057?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:40,754 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Online-Feature/Recipes/Your-best-new-braai-menu/Green-Beans-350-g/_/A-20087388?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:40,844 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Fruit/Strawberries-250-g/_/A-20017279?isFromPLP=true appended into product link list.
