INFO - 2023-05-29 19:41:57,132 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Online-Feature/Content/Eating-Well/Trending/Cold-Pressed-Carrot-100-Juice-750-ml/_/A-6009204378353?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,162 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-save-R6/Cold-Pressed-And-Functional-Smoothie-250ml/Cold-Pressed-Passion-Punch-100-Juice-250-ml/_/A-6009204963818?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,201 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-for-R50/Fruit-Juices-Blends/100-Mango-and-Pineapple-Fruit-Juice-Blend-500-ml/_/A-6009204963849?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,248 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-for-R78/Fresh-Juice-1-5L/100-Mango-and-Pineapple-Fruit-Juice-Blend-1-5-L/_/A-6009204921740?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,283 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Sodas/Sparkling-Fruit-Drinks/Appletiser-100-Sparkling-Apple-Juice-275-ml/_/A-6001048003323?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,312 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Bulk-Shopping-Items/Appletiser-100-Sparkling-Apple-Juice-6-x-275-ml/_/A-6001048003330?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,342 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Sodas/Sparkling-Fruit-Drinks/Appletiser-100-Sparkling-Apple-Juice-750-ml/_/A-6001048000902?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,363 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Sodas/Sparkling-Fruit-Drinks/Grapetiser-100-Sparkling-Red-Grape-Juice-750-ml/_/A-6001048000933?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,397 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Sodas/Sparkling-Fruit-Drinks/Grapetiser-100-Sparkling-Red-Grape-Juice-6-x-275-ml/_/A-6001048003392?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,426 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Sodas/Sparkling-Fruit-Drinks/Grapetiser-100-Sparkling-Red-Grape-Juice-275-ml/_/A-6001048003385?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,448 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Sodas/Branded-Soda/Grapetiser-100-Sparkling-White-Grape-Juice-275-ml/_/A-6001048003354?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,482 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/4-and-6-Packs/Soda-Energy-Drinks/Grapetiser-100-Sparkling-White-Grape-Juice-6-x-275-ml/_/A-6001048003361?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,512 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/100-Red-Grape-Juice-1-L/_/A-6009101252343?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,544 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Apple-100-Fruit-Juice-200-ml/_/A-20082703?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,563 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Apple-100-Fruit-Juice-6-x-200-ml/_/A-20094447?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,603 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Apple-100-Fruit-Juice-1-L/_/A-20074067?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,629 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Cherry-and-Berry-100-Fruit-Juice-Blend-1-L/_/A-6001009006301?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,664 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Fruit-Cocktail-100-Fruit-Juice-Blend-200-ml/_/A-20127664?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,697 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Fruit-Cocktail-100-Fruit-Juice-Blend-6-x-200-ml/_/A-20127671?isFromPLP=true appended into product link list.
