INFO - 2023-05-29 13:01:22,549 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Hand-Foot-Nail-Care/Hand-Wash-Waterless-Cleansers/Dettol-Hygiene-Fresh-Handwash-200-ml/_/A-6001106224615?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,580 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Hand-Foot-Nail-Care/Hand-Wash-Waterless-Cleansers/Earth-Friendly-Aloe-and-Apple-Hand-Wash-250-ml/_/A-6009214457833?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,631 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Body-Care/Deodorants-Antiperspirants/Womens-Body-Spray/Dove-Original-Body-Spray-150-ml/_/A-6001085127334?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,768 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Personal-Care-Range/Hand-Care/Hygiene-Green-Tea-Fragranced-Hand-Wash-500-ml/_/A-6009211638563?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,827 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Body-Care/Body-Scrubs-Wash-Shower-Gels/Almond-Milk-and-Vanilla-Body-Wash-500-ml/_/A-6009211634961?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,882 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Health-Pharmacy/Medical/Panado-20-Capsules/_/A-6004405003271?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,913 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Hand-Foot-Nail-Care/Hand-Wash-Waterless-Cleansers/Dettol-Hygiene-Original-Liquid-Hand-Wash-Refill-200-ml/_/A-6001106123062?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,964 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Health-Pharmacy/Antiseptic/Dettol-Antiseptic-Liquid-750-ml/_/A-6001016400000?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:23,031 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Bath-Shower-Soap/Body-Scrubs-Wash-Shower-Gels/Sanex-Dermo-Pro-Hydrate-Shower-Cream-500-ml/_/A-8714789763804?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:23,092 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Feminine-Care/Pads-Liners/Always-Ultra-Sensitive-Normal-Pads-20-pk/_/A-4015400069980?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:23,146 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Men-s-Toiletries/Shaving-Beard-Care/Nivea-For-Men-Sensitive-Shaving-Gel-200-ml/_/A-5025970023243?isFromPLP=true appended into product link list.
