name,barcode,price,weight,category,date
Light Meat Tuna Chunks in Brine 170 g,6009195372323,32.99,0.17,Pantry,29-05-2023
Black Olives in Brine 200 g,20044732,24.99,0.2,Pantry,29-05-2023
Kellogg's Vanilla Flavoured Rice Krispies 400 g,6001306154804,54.99,0.4,Pantry,29-05-2023
Raw Walnuts 100 g,6001009027948,55.99,0.1,Pantry,29-05-2023
Cheese Flavoured Maize Puffs 120 g,6009000827895,16.99,0.12,Pantry,29-05-2023
Gums Galore 600 g,6009175976824,85.99,0.6,Pantry,29-05-2023
Rolled Oats 1 kg,6009101343263,41.99,1.0,Pantry,29-05-2023
Bokomo Pronutro Chocolate Wheat Free Cereal 750 g,6001021064556,81.99,0.75,Pantry,29-05-2023
One Cup Rooibos Tea Bags 84 pk,6009101265800,45.99,,Pantry,29-05-2023
Lindt Excellence Mint Intense Dark Chocolate 100 g,3046920028752,64.99,0.1,Pantry,29-05-2023
Nestlé Caramel Treat 360 g,6001068312702,35.99,0.36,Pantry,29-05-2023
Roasted and Salted Cashew Nuts 30 g,20192624,17.99,0.03,Pantry,29-05-2023
Reduced Sugar and Salt Baked Beans 410 g,6009207368016,14.99,0.41,Pantry,29-05-2023
Jacobs Krönung Gold Mild Instant Coffee 200 g,8714599200537,154.99,0.2,Pantry,29-05-2023
Napoletana Pasta Sauce 370 ml,6008000321341,86.99,0.37,Pantry,29-05-2023
Multiseed Wraps 8 x 54 g,6009178807422,52.99,0.43,Pantry,29-05-2023
WCafe Italian Blend Coffee Beans 1 kg,6009189862465,279.99,1.0,Pantry,29-05-2023
Salted Flavoured Microwave Popcorn 6 x 100 g,6009184110547,94.99,0.6,Pantry,29-05-2023
Hand Cooked Flame Grilled Steak Flavoured Potato Crisps 125 g,6009184110493,23.99,0.12,Pantry,29-05-2023
Lindt Excellence 70 % Cocoa Dark Chocolate 100 g,3046920028004,64.99,0.1,Pantry,29-05-2023
Beef Bolognese Pasta Sauce 375 ml,20130367,62.99,0.38,Pantry,29-05-2023
Chutney Naks Maize Snack 150 g,6009189680854,12.99,0.15,Pantry,29-05-2023
Smooth Apricot Jam 450 g,20076559,27.99,0.45,Pantry,29-05-2023
Lentils 400 g,20198855,28.99,0.4,Pantry,29-05-2023
Rooibos Tagless Tea Bags 80 pk,6009101265770,46.99,,Pantry,29-05-2023
White Flour Wraps 8 x 54 g,6009178807347,52.99,0.43,Pantry,29-05-2023
Bovril 250 g,60050144,61.99,0.25,Pantry,29-05-2023
Salad Cream Mayonnaise 780 g,20149826,46.99,0.78,Pantry,29-05-2023
Snowflake Cake Wheat Flour 1kg,6001205102722,20.99,,Pantry,29-05-2023
Organic Chickpeas in Water 400 g,6001009036216,32.99,0.4,Pantry,29-05-2023
Lucky Star Pilchards in Hot Chilli Sauce 400 g,6001115001542,26.99,0.4,Pantry,29-05-2023
FANTASTICAL® Multi Coloured Eggs 125 g,6005000350067,46.99,0.12,Pantry,29-05-2023
Mild Salsa 400 g,6009000771785,41.99,0.4,Pantry,29-05-2023
Nescafé Espresso Instant Coffee 200 g,7613036412704,152.99,0.2,Pantry,29-05-2023
John West Light Meat Shredded Tuna in Sunflower Oil 170 g,6001030004543,26.99,0.17,Pantry,29-05-2023
Nescafé Gold Unsweetened Cappuccino Sachets 10 x 12.5 g,6001068574209,69.99,0.01,Pantry,29-05-2023
Ferrero Rocher 200 g,8000500037874,129.0,0.2,Pantry,29-05-2023
Red Kidney Beans in Brine 400 g,20138141,28.99,0.4,Pantry,29-05-2023
Canola Oil 750 ml,6001009029096,42.99,0.75,Pantry,29-05-2023
Pecan Fudge Shortbread 220 g,6009175277419,64.99,0.22,Pantry,29-05-2023
Plain Rice Cakes 100 g,20084806,29.99,0.1,Pantry,29-05-2023
Nestle® Cremora® Original 750 g,6009188002688,51.99,0.75,Pantry,29-05-2023
Baking Paper 5 m x 30 cm,6009173542786,36.99,,Pantry,29-05-2023
Cerebos Iodated Table Salt 500 g,6001021021023,28.99,0.5,Pantry,29-05-2023
Asian Reduced Fat Coconut Milk 400 ml,6005000946963,39.99,0.4,Pantry,29-05-2023
Salt and Vinegar Flavoured Potato Fries 125 g,6009175940580,34.99,0.12,Pantry,29-05-2023
Bonne Maman Strawberry Jam 370 g,3608580713883,89.99,0.37,Pantry,29-05-2023
Rosemary Crackers 250 g,20205782,54.99,0.25,Pantry,29-05-2023
Chicken Stock Powder 150 g,20081133,52.99,0.15,Pantry,29-05-2023
CHUCKLES® Peanuts in Milk Chocolate 150 g,20000943,48.99,0.15,Pantry,29-05-2023
Iwisa No 1 Super Maize Meal 2.5 kg,6001205051501,38.99,5.0,Pantry,29-05-2023
Bakers Original Choc-Kits 200 g,6001056119009,31.99,0.2,Pantry,29-05-2023
Cadbury Dairy Milk Mint Crisp 80 g,6001065600062,20.99,0.08,Pantry,29-05-2023
Sour Cream & Chive Dip 160 g,20103187,42.99,0.16,Pantry,29-05-2023
Nutella Nut Spread 680 g,59029649,145.99,0.68,Pantry,29-05-2023
Long Life Low Fat Milk 1 L,6009171079970,18.99,1.0,Pantry,29-05-2023
Cerebos Iodated Table Salt 1 kg,6001021023119,21.99,1.0,Pantry,29-05-2023
WCafe Italian Blend Ground Coffee 500 g,6008000253024,149.99,0.5,Pantry,29-05-2023
Canola and Extra Virgin Olive Oil 1 L,6009189785269,89.99,1.0,Pantry,29-05-2023
Bakers Original Mini Eet-Sum-Mor Biscuits 5 x 40 g,6009704170662,39.99,0.2,Pantry,29-05-2023
Roasted and Salted BBQ Flavoured Peanut and Cashew Mix 400 g,6009211112438,119.99,0.4,Pantry,29-05-2023
Sour Cream Flavoured Rice Crackers 100 g,6009171121143,32.99,0.1,Pantry,29-05-2023
Melrose with Cheddar Cheese Spread 250 g,6001049110686,46.99,0.25,Pantry,29-05-2023
Salted Pretzel Thins 180 g,6009204748453,41.99,0.18,Pantry,29-05-2023
Tomato Purée 660 ml,20108793,53.99,0.66,Pantry,29-05-2023
All Butter Shortbread Biscuits 220 g,20133542,62.99,0.22,Pantry,29-05-2023
Cook 'n Bake Original Non-Stick Cooking Spray 300 ml,6001511000088,49.99,0.3,Pantry,29-05-2023
Roasted and Salted Cashews 500 g,6009211118911,231.99,0.5,Pantry,29-05-2023
Bakers Original Ginger Nuts Biscuits 200 g,6001056294003,32.99,0.2,Pantry,29-05-2023
